"include" "include filename" "include.n7"
"randomize" "randomize seed" "rnd.n7"
"min"	"(num)min(x, y)" "min.n7"
"max" "(num)max(x, y)" "max.n7"
"abs" "(num)abs(x)" "abs.n7"
"sgn" "(num)sgn(x)" "sgn.n7"
"floor" "(num)floor(x)" "floor.n7"
"ceil" "(num)ceil(x)" "ceil.n7"
"round" "(num)round(x)" "round.n7"
"pow" "(num)pow(x, y)" "pow.n7"
"sqr" "(num)sqr(x)" "sqr.n7"
"cos" "(num)cos(x)" "cos.n7"
"sin" "(num)sin(x)" "sin.n7"
"tan" "(num)tan(x)" "tan.n7"
"acos" "(num)acos(x)" "acos.n7"
"asin" "(num)asin(x)" "asin.n7"
"atan" "(num)atan(x)" "atan.n7"
"atan2" "(num)atan2(y, x)" "atan2.n7"
"rad" "(num)rad(x)" "rad.n7"
"deg" "(num)deg(x)" "deg.n7"
"rnd" "(num)rnd() / (num)rnd(n) / (num)rnd(min_value, max_value)" "rnd.n7"
"len" "(num)len(str)" "len.n7"
"lower" "(str)lower(str)" "lower.n7"
"upper" "(str)upper(str)" "upper.n7"
"left" "(str)left(str, pos)" "left.n7"
"right" "(str)right(str, pos)" "right.n7"
"mid" "(str)mid(str, pos[, count])" "mid.n7"
"split" "(tbl)split(str, sub_str)" "split.n7"
"instr" "(num)instr(str, sub_str[, start_pos])" "instr.n7"
"replace" "(str)replace(str, sub_str, rep_str[, start_pos])" "replace.n7"
"chr" "(str)chr(ascii_code)" "chr.n7"
"asc" "(num)asc(str)" "asc.n7"
"free key" "free key tbl, key" "free_key.n7"
"free val" "free val tbl, value" "free_val.n7"
"free" "free var" "free.n7"
"clear" "clear tbl" "clear.n7"
"dim" "(tbl)dim(size_1[, size_2 .. [, size_n]])" "dim.n7"
"fill" "(tbl)fill(value, size_1[, size_2 .. [, size_n]])" "fill.n7"
"sizeof" "(num)sizeof(tbl)" "sizeof.n7"
"copy" "(type of v)copy(v)" "copy.n7"
"wait" "wait ms" "wait.n7"
"fwait" "fwait fps / (num)fwait(fps)" "fwait.n7"
"clock" "(num)clock()" "clock.n7"
"time" "(num)time([year[, month[, day[, hour[, minute[, second]]]]]])" "time.n7"
"datetime" "(tbl)datetime([time_value])" "datetime.n7"
"open file" "open file file_id, filename[, binary]" "file_read.n7"
"create file" "create file file_id, filename[, binary]" "file_write.n7"
"free file" "free file file_id" "file_read.n7"
"write file" "write file file_id, x[, bytes[, signed]]" "file_write.n7"
"wln file" "wln file file_id, s" "file_write.n7"
"openfile" "(num)openfile(filename[, binary])" "file_read.n7"
"createfile" "(num)createfile(filename[, binary])" "file_write.n7"
"file" "(num)file(file_id)" "file_read.n7"
"fread" "(str/num)fread(file_id[, bytes[, signed]])" "file_read.n7"
"frln" "(str)frln(file_id)" "file_read.n7"
"freadc" "(num)freadc(file_id)" "file_read.n7"
"openfiledialog" "(str)openfiledialog(file_ext)" "openfiledialog.n7"
"savefiledialog" "(str)savefiledialog(file_ext)" "savefiledialog.n7"
"exists" "(num)exists(filename)" "file_read.n7"
"set window" "set window title, w, h[, fullscreen[, scale]]" "set_window.n7"
"set redraw" "set redraw value" "redraw.n7"
"redraw" "redraw" "redraw.n7"
"window" "(num)window(title)" "window.n7"
"keydown" "(num)keydown(key_code[, unflag])" "keydown.n7"
"inkey" "(num)inkey()" "inkey.n7"
"set mouse" "set mouse visibility / set mouse x, y" "set_mouse.n7"
"mousex" "(num)mousex()" "mouse_x_y.n7"
"mousey" "(num)mousey()" "mouse_x_y.n7"
"mousebutton" "(num)mousebutton(btn_index[, unflag])" "mousebutton.n7"
